Entry,Entry Category,Origin,Entry Status,GitHub URL,Slug,Sorting Algorithm,EntryNumber,State,Entry Summary,Record ID
JavaScript,,web,Alpha,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/javascript.md,javascript,0,42,Draft,,rec4HJ0zaRm1EXXj4
jitter plot,data visualization,,Beta,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/jitter-plot.md,jitter-plot,0,,Active,,recpH4NyL6gPo2VWO
JSON,,programming,Alpha,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/json.md,json,599,43,Draft,,recQ0GHxykzsia2L4
juxtaposition,,design,Beta,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/juxtaposition.md,juxtaposition,520,44,Active,,rec8KttynoyhBBjUp
line chart,data visualization,,,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/line-chart.md,line-chart,0,,Active,,recG2t9tz1Jgzlv0J
linear dendrogram,data visualization,,,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/linear-dendrogram.md,linear-dendrogram,0,,Active,,rechar4qwa0F0l2jG
linear-scale,,,Alpha,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/linear-scale.md,linear-scale,0,,Draft,,reckUhewPmsxFcuLp
loading screen,,web,Beta,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/loading-screen.md,loading-screen,1222,45,Active,,recD6791urrgjyeOZ
logarithmic-scale,,,Alpha,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/logarithmic-scale.md,logarithmic-scale,0,,Draft,,recfC5rAZnCacMYWL
Lottie Animation,,web,Beta,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/lottie-animation.md,lottie-animation,228,46,Active,,recnIVL6sIdqz1Sdq
Markdown,,web,Beta,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/markdown.md,markdown,380,47,Active,,recCMxK9bA3TGtw3k
matrix plot,data visualization,,,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/matrix-plot.md,matrix-plot,0,,Active,,recXs5SSmmhMC0RBi
melody,,music,Beta,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/melody.md,melody,612,48,Active,,recvGldb4zjIPh65d
mimicry,,theatre,Alpha,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/mimicry.md,mimicry,810,49,Draft,,recg4P8FuYjGdBfxr
montage,,cinematography,Alpha,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/montage.md,montage,129,50,Draft,,recBwJBe7YnZxYGjI
motion,"concept,fundamentals",,Beta,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/motion.md,motion,2160,51,Active,,recFf3726iznmSNxA
multiset barchart,data visualization,,,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/multiset-barchart.md,multiset-barchart,0,,Active,,recUDMlLM9TX0yqx2
narrative,,literature,Alpha,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/narrative.md,narrative,0,52,Draft,,recx6BOZZEalCFTOM
one at a time,,music,Alpha,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/one-at-a-time.md,one-at-a-time,219,53,Draft,,rechmheav39DCCIdo
opacity,,design,Beta,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/opacity.md,opacity,1604,54,Active,,recEDJGELo9aNmnbn
open source,,web,Alpha,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/open-source.md,open-source,646,55,Draft,,rec0GstJ1tWLDGHcB
Optical Character Recognition (OCR),,programming,Beta,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/optical-character-recognition-ocr.md,optical-character-recognition-ocr,1238,57,Active,,recYL4MQkSusUHjYp
Open Source Intelligence (OSINT),,journalism,Beta,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/osint.md,osint,848,56,Active,,recxaLK0Ytj0yCVsY
parallax,,web,Beta,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/parallax.md,parallax,746,58,Active,,recuIiIStKbRfMZcI
parallel coordinates,data visualization,,,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/parallel-coordinates.md,parallel-coordinates,0,,Active,,rechuwW5xBv0Zqb6a
perspective,,art,Alpha,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/perspective.md,perspective,128,59,Draft,,recR4janDbHQrlTXq
photogrammetry,,programming,Beta,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/photogrammetry.md,photogrammetry,820,60,Active,,reckTj9KBMrv7LxOw
pie chart,data visualization,,Alpha,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/pie-chart.md,pie-chart,627,61,Draft,,recYz94EQ9uJNJHuD
portrait,,photography,Alpha,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/portrait.md,portrait,0,62,Draft,,recYHKU9gfSE4dUVz
prototype,,design,Alpha,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/prototype.md,prototype,117,63,Draft,,rec9q08h75HFps95O
r,,,Alpha,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/r.md,r,0,,Draft,,reckQ1DvpXmpgOEJ8
radar chart,data visualization,,,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/radar-chart.md,radar-chart,0,,Active,,reca1Fcqyj9LOlpJW
Raspberry Pi,,,Beta,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/raspberry-pi.md,raspberry-pi,496,64,Active,,recY7dH74UgBaxoWK
reader submissions,,journalism,Beta,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/reader-submissions.md,reader-submissions,1036,65,Active,,rec9LPWpy4QGYNAVE
recapitulation,,music,Beta,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/recapitulation.md,recapitulation,1138,66,Active,,recpvmUmKjoJ7iEkn
regression,,statistics,Alpha,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/regression.md,regression,171,67,Draft,,recZSaUKWPA7gbrMC
reveal,,,Beta,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/reveal.md,reveal,284,68,Active,,recHUQpgvnb2RlOss
reverse IP address lookup,,web,Alpha,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/reverse-ip-address-lookup.md,reverse-ip-address-lookup,0,69,Active,,recLti1Jn3oCe0914
rhythm,,music,Alpha,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/rhythm.md,rhythm,0,70,Active,,reciuWW5QUdNQVL29
rule of thirds,,photography,Alpha,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/rule-of-thirds.md,rule-of-thirds,0,71,Active,,recHuk1QDV8Q2PEpl
Sankey diagram,data visualization,,,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/sankey-diagram.md,sankey-diagram,0,,Active,,recQ8gSgFtLJiJNOM
scale,,art,Beta,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/scale.md,scale,1800,73,Active,,recqL24RUdL4qTKnh
scrolling,,web,Beta,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/scrolling.md,scrolling,1430,74,Active,,rec67lQQB6qgkgNXD
scrollytelling,,,Alpha,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/scrollytelling.md,scrollytelling,0,,Draft,,recMNtz8wufsJDPgv
sforzando,,music,Complete,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/sforzando.md,sforzando,2391,75,Active,,recJLhxe73YLPhH5z
slideshow,,photography,Alpha,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/slideshow.md,slideshow,70,76,Draft,,recjVhovS7LtR5weZ
slope graph,data visualization,,,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/slope-graph.md,slope-graph,0,,Active,,recy4rR4KSZeyk3Vv
small multiples,data visualization,,Alpha,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/small-multiples.md,small-multiples,0,77,Draft,,recGSpJXAMqvRt4ko
sonification,,,Alpha,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/sonification.md,sonification,0,,Draft,,recPCB9DheOoq1NOu
stacked barchart,data visualization,,,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/stacked-barchart.md,stacked-barchart,0,,Active,,rec5cn06OFrCgAdfe
statistics,,statistics,Alpha,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/statistics.md,statistics,0,78,Draft,,recaoFszkdhFLAHlq
sticky position,,web,Beta,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/sticky-position.md,sticky-position,572,79,Active,,recriM3bSQcQqXP0a
streamgraph,data visualization,,,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/streamgraph.md,streamgraph,0,,Active,,recbvbnjWRxby0kCO
sunburst diagram,data visualization,,,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/sunburst-diagram.md,sunburst-diagram,0,,Active,,recrwMkx8fRMdr2gh
svelte,,,Alpha,https://github.com/codethenews/encyclopedia-of-storytelling/blob/main/svelte.md,svelte,0,,Draft,,recG34ww9pasL8vbu
